N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS cycl,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC cycl,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,2.66,120.90,0.0,CPU bound,2.66,120.90,28.12418969634937,,116.30,97.33,76.2,72.0,0.0,0.0,0.0,76.20,76.2,72.0,7.0,0.0,0.0,79.00,94.52,44.1,54.8,0.3,0.0,0.1,2.40,.16,2.56,0,0,0,.08,.08,.16,0,0,0,0,0,0,0,0,0,48.00,8.00,56.00,0,0,0,0,0,0
20,2.63,119.54,76.93784268916914,CPU bound,2.66,120.90,52.23063800750598,,92.80,102.36,76.2,72.0,19.1,21.7,0.0,112.83,76.2,72.0,13.0,14.0,0.0,99.00,89.88,37.9,40.0,17.4,25.1,0.1,129.60,9.52,139.12,91.36,9.12,100.48,.08,.08,.16,141.75,11.37,153.12,75.37,11.37,86.74,0,0,0,96.00,8.00,104.00,48.00,8.00,56.00,0,0,0
30,2.66,120.90,62.45206517895383,CPU bound,2.66,120.90,52.23063800750598,,92.80,92.50,76.2,72.0,15.5,17.7,0.0,105.21,76.2,72.0,13.0,14.0,0.0,99.00,99.46,37.0,37.8,16.5,24.6,0.1,122.24,9.60,131.84,89.20,9.36,98.56,.08,.08,.16,115.00,9.37,124.37,61.37,9.37,70.74,0,0,0,96.00,8.00,104.00,48.00,8.00,56.00,0,0,0
40,2.66,120.90,62.271617966195194,CPU bound,2.66,120.90,64.7580372250423,,82.77,92.60,76.2,72.0,15.5,22.9,0.0,110.36,76.2,72.0,13.0,26.0,0.0,111.00,99.35,36.7,37.0,15.6,30.5,0.1,115.76,8.72,124.48,113.68,8.48,122.16,.08,.08,.16,114.62,9.37,123.99,82.00,9.37,91.37,0,0,0,96.00,8.00,104.00,96.00,8.00,104.00,0,0,0
50,2.66,120.90,71.54722307607926,CPU bound,2.66,120.90,64.7580372250423,,82.77,111.75,76.2,72.0,14.4,28.7,0.0,115.10,76.2,72.0,13.0,26.0,0.0,111.00,82.33,38.3,39.3,15.0,30.3,0.1,111.52,8.80,120.32,112.40,8.72,121.12,.08,0,.08,106.25,8.75,115.00,106.12,8.75,114.87,0,0,0,96.00,8.00,104.00,96.00,8.00,104.00,0,0,0
60,2.66,120.90,72.58644421619397,CPU bound,2.66,120.90,64.7580372250423,,82.77,110.92,76.2,72.0,14.6,29.1,0.0,115.71,76.2,72.0,13.0,26.0,0.0,111.00,82.94,37.9,38.5,14.6,29.6,1.4,108.08,8.48,116.56,110.16,8.32,118.48,2.32,.08,2.40,107.62,8.87,116.49,107.62,8.87,116.49,0,0,0,96.00,8.00,104.00,96.00,8.00,104.00,0,0,0
70,2.23,101.36,90.68712802383318,0.18,2.47,112.27,81.85898709036742,0.20,64.11,92.85,76.2,72.0,13.9,27.9,35.8,149.62,76.2,72.0,13.0,26.0,32.3,143.30,99.09,37.8,38.0,14.6,28.9,17.3,108.16,8.72,116.88,107.28,8.56,115.84,26.64,3.44,30.08,103.12,8.50,111.62,103.12,8.50,111.62,53.37,8.75,62.12,96.00,8.00,104.00,96.00,8.00,104.00,48.00,8.00,56.00
80,1.02,46.36,197.5423799112931,0.03,2.47,112.27,81.85898709036742,0.20,64.11,70.32,76.2,72.0,53.2,28.3,35.3,188.77,76.2,72.0,13.0,26.0,32.3,143.30,130.83,37.8,37.6,16.9,28.3,32.5,126.32,8.96,135.28,104.80,8.24,113.04,48.88,7.52,56.40,393.37,32.00,425.37,104.50,8.62,113.12,52.62,8.62,61.24,96.00,8.00,104.00,96.00,8.00,104.00,48.00,8.00,56.00
90,2.33,105.90,86.90477505461769,0.19,2.47,112.27,81.85898709036742,0.20,64.11,73.14,76.2,72.0,13.7,27.4,34.3,147.44,76.2,72.0,13.0,26.0,32.3,143.30,125.79,37.5,37.3,15.3,28.1,35.3,113.60,8.80,122.40,104.08,8.40,112.48,52.80,8.48,61.28,101.37,8.37,109.74,101.37,8.37,109.74,51.12,8.37,59.49,96.00,8.00,104.00,96.00,8.00,104.00,48.00,8.00,56.00
100,2.31,105.00,87.77669020854022,0.18,2.47,112.27,81.85898709036742,0.20,64.11,74.47,76.2,72.0,16.0,27.8,34.6,150.43,76.2,72.0,13.0,26.0,32.3,143.30,123.54,37.4,37.0,16.1,27.9,35.2,120.40,8.72,129.12,103.28,8.08,111.36,52.72,8.24,60.96,119.50,8.50,128.00,102.62,8.50,111.12,51.62,8.50,60.12,96.00,8.00,104.00,96.00,8.00,104.00,48.00,8.00,56.00
