N,threads,iterations,time,blocking factor,flop,lup,Gflop/s,Gflop/s (Roofline),Mlup/s,Mlup/s (Roofline),cy/CL,cy/CL (ECM),MLUP/s (ECM),l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
600,1,9,22.4889,,13268400000.0000,1924600000.0000,.59,0.61189,85.58,0,107.50,79.53,231.35,0,0,0,0,0,0
600,2,9,12.5459,,13424100000.0000,1924666500.0000,1.07,1.12,153.41,0,59.97,45.19,407.16,0,0,0,0,0,0
600,3,9,9.8354,,13376100000.0000,1924591000.0000,1.36,1.36,195.68,0,47.01,41.53,443.05,0,0,0,0,0,0
600,4,9,8.7797,,13432900000.0000,1924598000.0000,1.53,1.49,219.21,0,41.97,41.53,443.05,0,0,0,0,0,0
600,5,9,8.4416,,13422100000.0000,1924600300.0000,1.59,1.54,227.99,0,40.35,41.53,443.05,0,0,0,0,0,0
600,6,9,8.3794,,13407000000.0000,1924664300.0000,1.60,1.54,229.69,0,40.05,41.53,443.05,0,0,0,0,0,0
600,7,9,8.3729,,13396600000.0000,1924594700.0000,1.60,1.55,229.86,0,40.02,41.53,443.05,0,0,0,0,0,0
600,8,9,8.3745,,13399200000.0000,1924627500.0000,1.60,1.54,229.82,0,40.03,41.53,443.05,0,0,0,0,0,0
600,9,9,8.3899,,13423800000.0000,1924643000.0000,1.60,1.55,229.40,0,40.11,41.53,443.05,0,0,0,0,0,0
600,10,9,7.5565,,13450500000.0000,1924640500.0000,1.78,1.73,254.70,0,36.12,37.38,492.24,0,0,0,0,0,0
600,11,9,6.8737,,13403700000.0000,1924636000.0000,1.95,1.91,280.00,0,32.86,33.98,541.49,0,0,0,0,0,0
600,12,9,6.3086,,13437300000.0000,1924627600.0000,2.13,2.08,305.08,0,30.16,31.15,590.69,0,0,0,0,0,0
600,13,9,5.8046,,13466600000.0000,1924631200.0000,2.32,2.26,331.57,0,27.75,28.75,640.00,0,0,0,0,0,0
600,14,9,5.4269,,13458700000.0000,1924650000.0000,2.48,2.43,354.65,0,25.94,26.70,689.13,0,0,0,0,0,0
600,15,9,5.0487,,13429500000.0000,1924614900.0000,2.66,2.62,381.21,0,24.13,24.92,738.36,0,0,0,0,0,0
600,16,9,4.7544,,13454900000.0000,1924628600.0000,2.83,2.77,404.81,0,22.73,23.36,787.67,0,0,0,0,0,0
600,17,9,4.476,,13428000000.000,1924635000.000,3.00,3.00,429.99,0,21.40,21.99,836.74,0,0,0,0,0,0
600,18,9,4.2613,,13465700000.0000,1924616100.0000,3.16,3.06,451.65,0,20.37,20.76,886.31,0,0,0,0,0,0
