N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
10,,,L3 10 10 10 16 22342 10,,,,,,,,,,,,,,
20,,,L3 20 20 20 16 11171 20,,,,,,,,,,,,,,
30,,,L3 30 30 30 16 7447 30,,,,,,,,,,,,,,
40,,,L3 40 40 40 16 5586 40,,,,,,,,,,,,,,
50,,,L3 50 50 50 16 4468 50,,,,,,,,,,,,,,
60,,,L3 60 60 60 16 3724 60,,,,,,,,,,,,,,
70,,,L3 70 70 70 16 3192 70,,,,,,,,,,,,,,
80,,,L3 80 80 80 16 2793 80,,,,,,,,,,,,,,
90,,,L3 90 90 90 16 2483 90,,,,,,,,,,,,,,
100,,,L3 100 100 100 16 2234 100,,,,,,,,,,,,,,
110,,,L3 110 110 110 16 2031 110,,,,,,,,,,,,,,
120,,,L3 120 120 120 16 1862 120,,,,,,,,,,,,,,
130,,,L3 130 130 130 16 1719 130,,,,,,,,,,,,,,
140,,,L3 140 140 140 16 1596 140,,,,,,,,,,,,,,
150,,,L3 150 150 150 16 1490 150,,,,,,,,,,,,,,
160,,,L3 160 160 160 16 1396 160,,,,,,,,,,,,,,
170,,,L3 170 170 170 16 1314 170,,,,,,,,,,,,,,
180,,,L3 180 180 180 16 1241 180,,,,,,,,,,,,,,
190,,,L3 190 190 190 16 1176 190,,,,,,,,,,,,,,
200,,,L3 200 200 200 16 1117 200,,,,,,,,,,,,,,
210,,,L3 210 210 210 16 1064 210,,,,,,,,,,,,,,
220,,,L3 220 220 220 16 1016 220,,,,,,,,,,,,,,
230,,,L3 230 230 230 16 971 230,,,,,,,,,,,,,,
240,,,L3 240 240 240 16 931 240,,,,,,,,,,,,,,
250,,,L3 250 250 250 16 894 250,,,,,,,,,,,,,,
260,,,L3 260 260 260 16 859 260,,,,,,,,,,,,,,
270,,,L3 270 270 270 16 828 270,,,,,,,,,,,,,,
280,,,L3 280 280 280 16 798 280,,,,,,,,,,,,,,
290,,,L3 290 290 290 16 771 290,,,,,,,,,,,,,,
300,,,L3 300 300 300 16 745 300,,,,,,,,,,,,,,
310,,,L3 310 310 310 16 721 310,,,,,,,,,,,,,,
320,,,L3 320 320 320 16 698 320,,,,,,,,,,,,,,
330,,,L3 330 330 330 16 677 330,,,,,,,,,,,,,,
340,,,L3 340 340 340 16 657 340,,,,,,,,,,,,,,
