N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
10,,,L3 10 10 10 16 25278 10,,,,,,,,,,,,,,
20,,,L3 20 20 20 16 12639 20,,,,,,,,,,,,,,
30,,,L3 30 30 30 16 8426 30,,,,,,,,,,,,,,
40,,,L3 40 40 40 16 6319 40,,,,,,,,,,,,,,
50,,,L3 50 50 50 16 5055 50,,,,,,,,,,,,,,
60,,,L3 60 60 60 16 4213 60,,,,,,,,,,,,,,
70,,,L3 70 70 70 16 3611 70,,,,,,,,,,,,,,
80,,,L3 80 80 80 16 3159 80,,,,,,,,,,,,,,
90,,,L3 90 90 90 16 2808 90,,,,,,,,,,,,,,
100,,,L3 100 100 100 16 2527 100,,,,,,,,,,,,,,
110,,,L3 110 110 110 16 2298 110,,,,,,,,,,,,,,
120,,,L3 120 120 120 16 2106 120,,,,,,,,,,,,,,
130,,,L3 130 130 130 16 1944 130,,,,,,,,,,,,,,
140,,,L3 140 140 140 16 1805 140,,,,,,,,,,,,,,
150,,,L3 150 150 150 16 1685 150,,,,,,,,,,,,,,
160,,,L3 160 160 160 16 1579 160,,,,,,,,,,,,,,
170,,,L3 170 170 170 16 1486 170,,,,,,,,,,,,,,
180,,,L3 180 180 180 16 1404 180,,,,,,,,,,,,,,
190,,,L3 190 190 190 16 1330 190,,,,,,,,,,,,,,
200,,,L3 200 200 200 16 1263 200,,,,,,,,,,,,,,
210,,,L3 210 210 210 16 1203 210,,,,,,,,,,,,,,
220,,,L3 220 220 220 16 1149 220,,,,,,,,,,,,,,
230,,,L3 230 230 230 16 1099 230,,,,,,,,,,,,,,
240,,,L3 240 240 240 16 1053 240,,,,,,,,,,,,,,
250,,,L3 250 250 250 16 1011 250,,,,,,,,,,,,,,
260,,,L3 260 260 260 16 972 260,,,,,,,,,,,,,,
