,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
560,21.75,410.37,0.60,21.82,411.69,0.60,203.95,195.03,44.1,44.0,22.1,10.1,14.2,90.4 ,44.1,44.0,22.0,10.0,14.1,90.1 ,94.34,82.96,8.40,91.36,32.32,8.00,40.32,17.92,8.08,26.00,80.25,8.00,88.25,32.37,8.00,40.37,16.12,8.00,24.12,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
570,21.75,410.37,0.60,21.82,411.69,0.60,203.95,198.82,44.1,44.0,22.1,10.0,14.1,90.2 ,44.1,44.0,22.0,10.0,14.1,90.1 ,92.54,81.60,8.40,90.00,32.32,8.00,40.32,18.00,8.08,26.08,80.25,8.00,88.25,32.12,8.00,40.12,16.00,8.00,24.00,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
580,21.75,410.37,0.60,21.82,411.69,0.60,203.95,195.91,44.1,44.0,22.1,10.0,14.2,90.3 ,44.1,44.0,22.0,10.0,14.1,90.1 ,93.92,82.56,8.40,90.96,32.64,8.00,40.64,18.32,8.08,26.40,80.25,8.00,88.25,32.12,8.00,40.12,16.00,8.12,24.12,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
590,21.75,410.37,0.60,21.82,411.69,0.60,203.95,197.79,44.1,44.0,22.1,10.0,14.2,90.3 ,44.1,44.0,22.0,10.0,14.1,90.1 ,93.03,82.08,8.40,90.48,32.32,8.00,40.32,18.56,8.08,26.64,80.25,8.00,88.25,32.12,8.00,40.12,16.00,8.12,24.12,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
600,21.75,410.37,0.60,21.82,411.69,0.60,203.95,195.04,44.1,44.0,22.1,10.0,14.1,90.2 ,44.1,44.0,22.0,10.0,14.1,90.1 ,94.34,82.32,8.32,90.64,32.32,8.00,40.32,18.56,8.08,26.64,80.25,8.00,88.25,32.12,8.00,40.12,16.00,8.00,24.00,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
610,21.75,410.37,0.60,21.82,411.69,0.60,203.95,188.70,44.1,44.0,22.1,10.1,14.2,90.4 ,44.1,44.0,22.0,10.0,14.1,90.1 ,97.51,81.84,8.32,90.16,32.32,8.00,40.32,18.56,8.08,26.64,80.25,8.00,88.25,32.37,8.00,40.37,16.12,8.00,24.12,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
620,21.75,410.37,0.60,21.82,411.69,0.60,203.95,164.83,44.1,44.0,22.1,10.1,14.2,90.4 ,44.1,44.0,22.0,10.0,14.1,90.1 ,111.63,81.60,8.32,89.92,32.32,8.00,40.32,18.56,8.08,26.64,80.25,8.00,88.25,32.37,8.00,40.37,16.12,8.00,24.12,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
630,21.76,410.56,0.60,21.82,411.69,0.60,203.95,187.38,44.1,44.0,22.1,10.0,14.1,90.2 ,44.1,44.0,22.0,10.0,14.1,90.1 ,98.19,82.08,8.32,90.40,32.32,8.00,40.32,18.96,8.08,27.04,80.25,8.00,88.25,32.12,8.00,40.12,16.00,8.00,24.00,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
640,21.76,410.56,0.60,21.82,411.69,0.60,203.95,184.48,44.1,44.0,22.1,10.0,14.1,90.2 ,44.1,44.0,22.0,10.0,14.1,90.1 ,99.74,82.24,8.32,90.56,32.32,8.00,40.32,19.20,8.08,27.28,80.25,8.00,88.25,32.12,8.00,40.12,16.00,8.00,24.00,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
650,21.76,410.56,0.60,21.82,411.69,0.60,203.95,189.37,44.1,44.0,22.1,10.0,14.1,90.2 ,44.1,44.0,22.0,10.0,14.1,90.1 ,97.16,82.00,8.32,90.32,32.32,8.00,40.32,19.28,8.08,27.36,80.25,8.00,88.25,32.12,8.00,40.12,16.00,7.87,23.87,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
660,21.76,410.56,0.60,21.82,411.69,0.60,203.95,198.61,44.1,44.0,22.1,10.0,14.1,90.2 ,44.1,44.0,22.0,10.0,14.1,90.1 ,92.65,82.00,8.32,90.32,32.32,8.00,40.32,19.68,8.08,27.76,80.25,8.00,88.25,32.12,8.00,40.12,16.00,7.87,23.87,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
670,21.76,410.56,0.60,21.82,411.69,0.60,203.95,189.71,44.1,44.0,22.1,10.0,14.0,90.1 ,44.1,44.0,22.0,10.0,14.1,90.1 ,96.99,82.00,8.32,90.32,32.32,8.00,40.32,19.76,8.08,27.84,80.25,8.00,88.25,32.12,8.00,40.12,16.00,7.75,23.75,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
680,21.76,410.56,0.60,21.82,411.69,0.60,203.95,197.86,44.1,44.0,22.1,10.0,14.1,90.2 ,44.1,44.0,22.0,10.0,14.1,90.1 ,93.00,81.92,8.32,90.24,32.32,8.00,40.32,20.56,8.08,28.64,80.25,8.00,88.25,32.12,8.00,40.12,16.00,7.87,23.87,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
690,21.76,410.56,0.60,21.82,411.69,0.60,203.95,189.39,44.1,44.0,22.1,10.0,14.1,90.2 ,44.1,44.0,22.0,10.0,14.1,90.1 ,97.15,81.92,8.32,90.24,32.32,8.00,40.32,20.80,8.08,28.88,80.25,8.00,88.25,32.12,8.00,40.12,16.00,8.00,24.00,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
700,21.76,410.56,0.60,21.82,411.69,0.60,203.95,198.76,44.1,44.0,22.1,10.0,14.1,90.2 ,44.1,44.0,22.0,10.0,14.1,90.1 ,92.58,81.84,8.32,90.16,32.32,8.00,40.32,21.04,8.08,29.12,80.25,8.00,88.25,32.12,8.00,40.12,16.00,8.00,24.00,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
710,21.76,410.56,0.60,21.82,411.69,0.60,203.95,188.12,44.1,44.0,22.1,10.1,14.3,90.4 ,44.1,44.0,22.0,10.0,14.1,90.1 ,97.81,82.00,8.40,90.40,32.32,8.00,40.32,21.20,8.08,29.28,80.25,8.00,88.25,32.37,8.00,40.37,16.12,8.12,24.24,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
720,21.76,410.56,0.60,21.82,411.69,0.60,203.95,197.06,44.1,44.0,22.1,10.1,14.2,90.4 ,44.1,44.0,22.0,10.0,14.1,90.1 ,93.37,82.24,8.32,90.56,32.24,8.00,40.24,22.16,8.08,30.24,80.25,8.00,88.25,32.37,8.12,40.49,16.12,8.00,24.12,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
730,21.76,410.56,0.60,21.82,411.69,0.60,203.95,189.34,44.1,44.0,22.1,10.0,14.1,90.1 ,44.1,44.0,22.0,10.0,14.1,90.1 ,97.18,81.84,8.32,90.16,32.32,8.00,40.32,22.88,8.08,30.96,80.25,8.00,88.25,32.12,8.00,40.12,16.00,7.87,23.87,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
740,21.77,410.75,0.60,21.82,411.69,0.60,203.95,199.30,44.1,44.0,22.1,10.0,14.1,90.2 ,44.1,44.0,22.0,10.0,14.1,90.1 ,92.32,81.60,8.32,89.92,32.24,8.00,40.24,22.80,8.08,30.88,80.25,8.00,88.25,32.12,8.00,40.12,16.00,8.00,24.00,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
750,21.77,410.75,0.60,21.82,411.69,0.60,203.95,189.09,44.1,44.0,22.1,10.0,14.0,90.1 ,44.1,44.0,22.0,10.0,14.1,90.1 ,97.31,81.84,8.32,90.16,32.24,8.00,40.24,23.28,8.08,31.36,80.25,8.00,88.25,32.12,8.00,40.12,16.00,7.87,23.87,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
760,21.77,410.75,0.60,21.82,411.69,0.60,203.95,197.86,44.1,44.0,22.1,10.0,14.1,90.2 ,44.1,44.0,22.0,10.0,14.1,90.1 ,92.99,81.76,8.32,90.08,32.24,8.00,40.24,25.04,8.08,33.12,80.25,8.00,88.25,32.12,8.00,40.12,16.00,8.00,24.00,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
770,21.77,410.75,0.60,21.82,411.69,0.60,203.95,160.17,44.1,44.0,22.1,10.0,14.2,90.2 ,44.1,44.0,22.0,10.0,14.1,90.1 ,114.88,83.68,8.24,91.92,32.32,8.00,40.32,24.32,8.08,32.40,80.25,8.00,88.25,32.12,8.00,40.12,16.00,8.12,24.12,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
780,21.77,410.75,0.60,21.82,411.69,0.60,203.95,198.65,44.1,44.0,22.1,10.0,14.1,90.2 ,44.1,44.0,22.0,10.0,14.1,90.1 ,92.63,81.60,8.24,89.84,32.24,8.00,40.24,26.00,8.08,34.08,80.25,8.00,88.25,32.12,8.00,40.12,16.00,8.00,24.00,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
790,21.77,410.75,0.60,21.82,411.69,0.60,203.95,188.69,44.1,44.0,22.1,10.0,14.1,90.2 ,44.1,44.0,22.0,10.0,14.1,90.1 ,97.51,81.76,8.24,90.00,32.24,8.00,40.24,26.56,8.08,34.64,80.25,8.00,88.25,32.12,8.00,40.12,16.00,8.00,24.00,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
800,21.77,410.75,0.60,21.82,411.69,0.60,203.95,188.68,44.1,44.0,22.1,10.0,14.1,90.2 ,44.1,44.0,22.0,10.0,14.1,90.1 ,97.52,84.08,8.24,92.32,32.32,8.00,40.32,26.08,8.08,34.16,80.25,8.00,88.25,32.12,8.00,40.12,16.00,8.00,24.00,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
810,21.77,410.75,0.60,21.82,411.69,0.60,203.95,189.09,44.1,44.0,22.1,10.0,14.1,90.2 ,44.1,44.0,22.0,10.0,14.1,90.1 ,97.31,81.68,8.24,89.92,32.24,8.00,40.24,26.64,8.08,34.72,80.25,8.00,88.25,32.12,8.00,40.12,16.00,8.00,24.00,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
820,21.77,410.75,0.60,21.82,411.69,0.60,203.95,198.41,44.1,44.0,22.1,10.0,14.1,90.2 ,44.1,44.0,22.0,10.0,14.1,90.1 ,92.74,81.60,8.24,89.84,32.24,8.00,40.24,27.04,8.08,35.12,80.25,8.00,88.25,32.12,8.00,40.12,16.00,8.00,24.00,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
830,21.77,410.75,0.60,21.82,411.69,0.60,203.95,188.57,44.1,44.0,22.1,10.0,14.1,90.2 ,44.1,44.0,22.0,10.0,14.1,90.1 ,97.58,81.52,8.24,89.76,32.24,8.00,40.24,26.80,8.08,34.88,80.25,8.00,88.25,32.12,8.00,40.12,16.00,8.00,24.00,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
840,21.77,410.75,0.60,21.82,411.69,0.60,203.95,196.96,44.1,44.0,22.1,10.0,14.1,90.2 ,44.1,44.0,22.0,10.0,14.1,90.1 ,93.42,81.68,8.24,89.92,32.24,8.00,40.24,28.48,8.08,36.56,80.25,8.00,88.25,32.12,8.00,40.12,16.00,8.00,24.00,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
850,18.09,341.32,1.34,17.82,336.22,1.32,185.61,188.32,44.1,44.0,22.1,10.0,22.7,98.7 ,44.1,44.0,22.0,10.0,23.0,99.0 ,97.71,81.68,8.24,89.92,32.32,8.00,40.32,27.84,8.08,35.92,80.25,8.00,88.25,32.12,8.00,40.12,31.50,7.87,39.37,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
860,17.72,334.33,1.32,17.82,336.22,1.32,185.61,198.74,44.1,44.0,22.1,10.1,23.1,99.3 ,44.1,44.0,22.0,10.0,23.0,99.0 ,92.58,81.60,8.24,89.84,32.24,8.00,40.24,28.64,8.08,36.72,80.25,8.00,88.25,32.50,8.00,40.50,32.25,8.00,40.25,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
870,17.54,330.94,1.30,17.82,336.22,1.32,185.61,189.07,44.1,44.0,22.1,10.1,23.4,99.5 ,44.1,44.0,22.0,10.0,23.0,99.0 ,97.32,81.60,8.24,89.84,32.24,8.00,40.24,27.92,8.08,36.00,80.12,8.00,88.12,32.50,8.00,40.50,32.50,8.12,40.62,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
880,17.53,330.75,1.30,17.82,336.22,1.32,185.61,195.10,44.1,44.0,22.1,10.1,23.4,99.5 ,44.1,44.0,22.0,10.0,23.0,99.0 ,94.31,82.08,8.24,90.32,32.24,8.00,40.24,28.72,8.08,36.80,80.12,8.00,88.12,32.50,8.00,40.50,32.50,8.12,40.62,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
890,17.53,330.75,1.30,17.82,336.22,1.32,185.61,188.47,44.1,44.0,22.1,10.1,23.4,99.5 ,44.1,44.0,22.0,10.0,23.0,99.0 ,97.63,81.60,8.24,89.84,32.24,8.00,40.24,28.40,8.08,36.48,80.12,8.00,88.12,32.50,8.00,40.50,32.50,8.12,40.62,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
900,17.53,330.75,1.30,17.82,336.22,1.32,185.61,197.66,44.1,44.0,22.0,10.1,23.4,99.6 ,44.1,44.0,22.0,10.0,23.0,99.0 ,93.09,81.60,8.24,89.84,32.24,8.00,40.24,29.04,8.08,37.12,80.12,8.00,88.12,32.50,8.00,40.50,32.50,8.12,40.62,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
910,17.59,331.88,1.31,17.82,336.22,1.32,185.61,186.88,44.1,44.0,22.0,10.2,23.3,99.5 ,44.1,44.0,22.0,10.0,23.0,99.0 ,98.46,81.44,8.24,89.68,32.24,8.00,40.24,29.68,8.08,37.76,80.12,8.00,88.12,32.50,8.12,40.62,32.50,8.00,40.50,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
920,17.78,335.47,1.32,17.82,336.22,1.32,185.61,194.78,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,94.47,81.36,8.24,89.60,32.24,8.00,40.24,28.88,8.08,36.96,80.12,8.00,88.12,32.12,8.00,40.12,32.12,8.00,40.12,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
930,17.78,335.47,1.32,17.82,336.22,1.32,185.61,188.30,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,97.71,81.52,8.24,89.76,32.24,8.00,40.24,29.60,8.08,37.68,80.12,8.00,88.12,32.12,8.00,40.12,32.12,8.00,40.12,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
940,17.78,335.47,1.32,17.82,336.22,1.32,185.61,198.62,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,92.64,81.52,8.24,89.76,32.24,8.00,40.24,29.68,8.08,37.76,80.12,8.00,88.12,32.12,8.00,40.12,32.12,8.00,40.12,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
950,17.78,335.47,1.32,17.82,336.22,1.32,185.61,188.61,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,97.55,81.52,8.24,89.76,32.24,8.00,40.24,30.24,8.08,38.32,80.12,8.00,88.12,32.12,8.00,40.12,32.12,8.00,40.12,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
960,17.78,335.47,1.32,17.82,336.22,1.32,185.61,179.61,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,102.45,83.36,8.24,91.60,32.24,8.00,40.24,30.32,8.08,38.40,80.12,8.00,88.12,32.12,8.00,40.12,32.12,8.00,40.12,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
970,17.78,335.47,1.32,17.82,336.22,1.32,185.61,188.83,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,97.44,81.52,8.24,89.76,32.24,8.00,40.24,30.80,8.08,38.88,80.12,8.00,88.12,32.12,8.00,40.12,32.12,8.00,40.12,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
980,17.78,335.47,1.32,17.82,336.22,1.32,185.61,198.99,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,92.47,81.52,8.24,89.76,32.24,8.00,40.24,30.80,8.08,38.88,80.12,8.00,88.12,32.12,8.00,40.12,32.12,8.00,40.12,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
990,17.78,335.47,1.32,17.82,336.22,1.32,185.61,188.34,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,97.70,81.44,8.24,89.68,32.24,8.00,40.24,30.96,8.08,39.04,80.12,8.00,88.12,32.12,8.00,40.12,32.12,8.00,40.12,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1000,17.79,335.66,1.32,17.82,336.22,1.32,185.61,195.95,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,93.90,81.92,8.24,90.16,32.24,8.00,40.24,31.20,8.08,39.28,80.12,8.00,88.12,32.12,8.00,40.12,32.12,8.00,40.12,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1010,17.79,335.66,1.32,17.82,336.22,1.32,185.61,186.67,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,98.57,81.52,8.24,89.76,32.24,8.00,40.24,31.44,8.08,39.52,80.12,8.00,88.12,32.12,8.00,40.12,32.12,8.00,40.12,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1020,17.79,335.66,1.32,17.82,336.22,1.32,185.61,165.00,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,111.51,88.88,8.24,97.12,32.40,8.00,40.40,31.84,8.08,39.92,80.12,8.00,88.12,32.12,8.00,40.12,32.12,8.00,40.12,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1030,17.79,335.66,1.32,17.82,336.22,1.32,185.61,166.29,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,110.65,82.16,8.24,90.40,32.24,8.00,40.24,32.00,8.08,40.08,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1040,17.79,335.66,1.32,17.82,336.22,1.32,185.61,194.04,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,94.83,81.84,8.24,90.08,32.32,8.00,40.32,32.08,8.08,40.16,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1050,17.79,335.66,1.32,17.82,336.22,1.32,185.61,187.75,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,98.00,81.36,8.24,89.60,32.24,8.00,40.24,32.08,8.08,40.16,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1060,17.79,335.66,1.32,17.82,336.22,1.32,185.61,197.39,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,93.22,81.36,8.24,89.60,32.24,8.00,40.24,32.32,8.08,40.40,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1070,17.79,335.66,1.32,17.82,336.22,1.32,185.61,186.36,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,98.73,82.88,9.04,91.92,32.24,8.00,40.24,32.40,8.08,40.48,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1080,17.79,335.66,1.32,17.82,336.22,1.32,185.61,179.55,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,102.48,81.44,8.16,89.60,32.24,8.00,40.24,32.56,8.08,40.64,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1090,17.79,335.66,1.32,17.82,336.22,1.32,185.61,187.24,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,98.27,81.28,8.16,89.44,32.24,8.00,40.24,32.56,8.08,40.64,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1100,17.79,335.66,1.32,17.82,336.22,1.32,185.61,199.01,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,92.46,81.60,8.16,89.76,32.24,7.92,40.16,32.48,8.08,40.56,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1110,17.79,335.66,1.32,17.82,336.22,1.32,185.61,187.09,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,98.35,81.44,8.16,89.60,32.24,8.00,40.24,32.56,8.08,40.64,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1120,17.79,335.66,1.32,17.82,336.22,1.32,185.61,184.91,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,99.51,83.84,8.16,92.00,32.32,8.00,40.32,32.64,8.08,40.72,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1130,17.79,335.66,1.32,17.82,336.22,1.32,185.61,188.58,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,97.57,81.28,8.16,89.44,32.32,8.00,40.32,32.72,8.08,40.80,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1140,17.79,335.66,1.32,17.82,336.22,1.32,185.61,198.68,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,92.61,81.36,8.16,89.52,32.24,8.00,40.24,32.64,8.08,40.72,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1150,17.79,335.66,1.32,17.82,336.22,1.32,185.61,159.93,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,115.05,81.36,8.16,89.52,32.24,8.00,40.24,32.88,8.08,40.96,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1160,17.79,335.66,1.32,17.82,336.22,1.32,185.61,196.90,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,93.45,81.60,8.16,89.76,32.24,8.00,40.24,32.80,8.08,40.88,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1170,17.79,335.66,1.32,17.82,336.22,1.32,185.61,188.45,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,97.64,81.28,8.16,89.44,32.32,8.00,40.32,32.80,8.08,40.88,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1180,17.79,335.66,1.32,17.82,336.22,1.32,185.61,198.03,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,92.92,81.36,8.16,89.52,32.24,8.00,40.24,32.80,8.08,40.88,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1190,17.79,335.66,1.32,17.82,336.22,1.32,185.61,186.74,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,98.53,81.52,8.16,89.68,32.32,8.00,40.32,32.88,8.08,40.96,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1200,17.79,335.66,1.32,17.82,336.22,1.32,185.61,188.60,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,97.56,81.84,8.16,90.00,32.24,8.00,40.24,32.88,8.08,40.96,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1210,17.79,335.66,1.32,17.82,336.22,1.32,185.61,189.51,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,97.09,81.28,8.16,89.44,32.24,8.00,40.24,32.88,8.08,40.96,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1220,17.79,335.66,1.32,17.82,336.22,1.32,185.61,198.35,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,92.77,81.28,8.16,89.44,32.24,8.00,40.24,32.88,8.08,40.96,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1230,17.79,335.66,1.32,17.82,336.22,1.32,185.61,188.99,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,97.36,81.28,8.16,89.44,32.24,8.00,40.24,32.96,8.08,41.04,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
